Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-12-04,The Animal Kingdom,2023,https://boxd.it/7XNb7R,,,,2024-03-29
2024-12-04,One Life,2023,https://boxd.it/7Ya2Gf,4,,,2024-03-30
2024-12-04,The Three Musketeers: Milady,2023,https://boxd.it/7XNb6T,,Yes,,2024-04-09
2024-12-04,The Three Musketeers: D'Artagnan,2023,https://boxd.it/7XNb7x,,,,2024-04-09
2024-12-04,All Your Faces,2023,https://boxd.it/7XNb6z,,,,2024-04-15
2024-12-04,Humanist Vampire Seeking Consenting Suicidal Person,2023,https://boxd.it/7XNb6J,,,,2024-04-15
2024-12-04,Challengers,2024,https://boxd.it/7XNb6p,,,,2024-04-25
2024-12-04,Ruby & Quentin,2003,https://boxd.it/7XNb65,,,,2024-05-08
2024-12-04,Poor Things,2023,https://boxd.it/7XNb5V,5,,,2024-05-27
2024-12-04,The Count of Monte-Cristo,2024,https://boxd.it/7XNb5L,,,,2024-06-30
2024-12-04,We're the Millers,2013,https://boxd.it/7XNb5B,,,,2024-07-19
2024-12-04,Furiosa: A Mad Max Saga,2024,https://boxd.it/7XNb5h,,,,2024-08-01
2024-12-04,The Fall Guy,2024,https://boxd.it/7XNb5r,,,,2024-08-01
2024-12-04,Spirit of Ecstasy,2023,https://boxd.it/7XNb57,2.5,,,2024-08-03
2024-12-04,The Path of Excellence,2023,https://boxd.it/7XNb4X,,,,2024-08-04
2024-12-04,Victoria,2015,https://boxd.it/7XNb4N,,Yes,,2024-08-10
2024-12-04,The Book of Solutions,2023,https://boxd.it/7XNb4D,,,,2024-08-22
2024-12-04,Emilia Pérez,2024,https://boxd.it/7XNb4t,4,,,2024-08-23
2024-12-04,Trap,2024,https://boxd.it/7XNb4j,1,,,2024-08-30
2024-12-04,Civil War,2024,https://boxd.it/7XNb49,3,,,2024-09-07
2024-12-04,Murder on the Orient Express,2017,https://boxd.it/7XNb3Z,4,,,2024-09-14
2024-12-04,Death on the Nile,2022,https://boxd.it/7XNb3P,4,,,2024-09-15
2024-12-04,A Haunting in Venice,2023,https://boxd.it/7XNb3F,3.5,,,2024-09-17
2024-12-04,Beating Hearts,2024,https://boxd.it/7XNb3v,4.5,,,2024-10-20
2024-12-04,Sink or Swim,2018,https://boxd.it/7XNb3l,2.5,,,2024-11-01
2024-12-04,The Teachers' Lounge,2023,https://boxd.it/7XNb3b,2.5,,,2024-11-17
2024-11-29,A Little Something Extra,2024,https://boxd.it/7V7pb7,3.5,,,2024-11-18
2024-11-27,The Braid,2023,https://boxd.it/7Ub5Kb,3.5,,,2024-11-20
2024-11-27,The Whale,2022,https://boxd.it/7Ub561,3.5,,,2024-11-22
