Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-12-04,Portrait of a Lady on Fire,2019,https://boxd.it/7XNbQx,,,,2020-01-01
2024-12-04,The Magical Legend of the Leprechauns,1999,https://boxd.it/7XNbQH,,,,2020-01-01
2024-12-04,Back to the Future,1985,https://boxd.it/7XNbQn,,,,2020-01-22
2024-12-04,Back to the Future Part III,1990,https://boxd.it/7XNbQd,,,,2020-01-23
2024-12-04,David et Madame Hansen,2012,https://boxd.it/7XNbQ3,,,,2020-01-26
2024-12-04,Veronika Decides to Die,2009,https://boxd.it/7XNbPT,,,,2020-01-29
2024-12-04,Snowden,2016,https://boxd.it/7XNbPJ,,,,2020-01-30
2024-12-04,Citizenfour,2014,https://boxd.it/7XNbPz,,,,2020-02-01
2024-12-04,Unbreakable,2000,https://boxd.it/7XNbPp,,,,2020-02-08
2024-12-04,The Irishman,2019,https://boxd.it/7XNbPf,,,,2020-02-13
2024-12-04,Split,2016,https://boxd.it/7XNbP5,,,,2020-02-22
2024-12-04,La Vie en Rose,2007,https://boxd.it/7XNbOV,,,,2020-02-27
2024-12-04,Match Point,2005,https://boxd.it/7XNbOL,,,,2020-02-28
2024-12-04,On a Magical Night,2019,https://boxd.it/7XNbOr,,,,2020-03-02
2024-12-04,Alice and the Mayor,2019,https://boxd.it/7XNbOB,,,,2020-03-02
2024-12-04,"Général Soleimani, le stratège de l'Iran",2021,https://boxd.it/7XNbOh,,,,2020-03-03
2024-12-04,Glass,2019,https://boxd.it/7XNbO7,,,,2020-03-05
2024-12-04,The Voices,2014,https://boxd.it/7XNbNX,,,,2020-03-16
2024-12-04,Jiro Dreams of Sushi,2011,https://boxd.it/7XNbNN,,,,2020-03-24
2024-12-04,Dofus - Book I: Julith,2015,https://boxd.it/7XNbND,,,,2020-03-28
2024-12-04,The Human Condition II: Road to Eternity,1959,https://boxd.it/7XNbNt,,Yes,,2020-04-12
2024-12-04,The Human Condition II: Road to Eternity,1959,https://boxd.it/7XNbNj,,,,2020-04-17
2024-12-04,Ravenous,1999,https://boxd.it/7XNbMZ,,,,2020-04-19
2024-12-04,The Human Condition III: A Soldier's Prayer,1961,https://boxd.it/7XNbN9,,,,2020-04-19
2024-12-04,Jack and the Cuckoo-Clock Heart,2013,https://boxd.it/7XNbMv,,,,2020-05-07
2024-12-04,Corpse Bride,2005,https://boxd.it/7XNbMl,,,,2020-06-03
2024-12-04,Perfume: The Story of a Murderer,2006,https://boxd.it/7XNbMb,,,,2020-07-11
2024-12-04,The Cabbage Soup,1981,https://boxd.it/7XNbM1,,,,2020-07-26
2024-12-04,The Dinner Game,1998,https://boxd.it/7XNbLR,,,,2020-07-27
2024-12-04,The Emperor's New Groove,2000,https://boxd.it/7XNbLH,,,,2020-08-05
2024-12-04,Romantics Anonymous,2010,https://boxd.it/7XNbLx,,,,2020-09-01
2024-12-04,Marriage Story,2019,https://boxd.it/7XNbLn,,,,2020-09-25
2024-12-04,Some Like It Hot,1959,https://boxd.it/7XNbLd,,,,2020-10-10
2024-12-04,Bird Thongchai Concert #3/1990 Boomerang Man,1990,https://boxd.it/7XNbL3,,,,2020-10-11
2024-12-04,The Wing or the Thigh?,1976,https://boxd.it/7XNbKT,,,,2020-10-13
2024-12-04,The Son,2022,https://boxd.it/7XNbKz,,,,2020-10-14
2024-12-04,Midnight Express,1978,https://boxd.it/7XNbKp,,,,2020-10-15
2024-12-04,Léon: The Professional,1994,https://boxd.it/7XNbKf,,,,2020-10-16
2024-12-04,There Will Be Blood,2007,https://boxd.it/7XNbK5,,,,2020-10-18
2024-12-04,Michael Douglas: The Prodigal Son,2023,https://boxd.it/7XNbJV,,,,2020-10-31
2024-12-04,Once Upon a Time… A Clockwork Orange,2011,https://boxd.it/7XNbJL,,,,2020-11-08
2024-12-04,The Cow and I,1959,https://boxd.it/7XNbJB,,,,2020-12-10
2024-12-04,Pitch Perfect,2012,https://boxd.it/7XNbJh,,,,2020-12-15
2024-12-04,Notting Hill,1999,https://boxd.it/7XNbJr,,,,2020-12-15
2024-12-04,"Crazy, Stupid, Love.",2011,https://boxd.it/7XNbJ7,,,,2020-12-16
2024-12-04,Silver Linings Playbook,2012,https://boxd.it/7XNbIX,,,,2020-12-17
2024-12-04,An Easy Girl,2019,https://boxd.it/7XNbIN,,,,2020-12-18
2024-12-04,The Breakfast Club,1985,https://boxd.it/7XNbHP,,Yes,,2020-12-19
2024-12-04,28 Days,2000,https://boxd.it/7XNbHZ,,,,2020-12-19
